Quadro (imagem),min_val,max_val
img_frame_00000.jpg,-91486984.0,202466976.0
img_frame_00001.jpg,-91497984.0,202521888.0
img_frame_00002.jpg,-91428248.0,202801440.0
img_frame_00003.jpg,-91274424.0,203202096.0
img_frame_00004.jpg,-91465520.0,203023456.0
img_frame_00005.jpg,-91543208.0,202284720.0
img_frame_00006.jpg,-91670136.0,201207648.0
img_frame_00007.jpg,-91682816.0,201363280.0
img_frame_00008.jpg,-91484264.0,202274096.0
img_frame_00009.jpg,-91200224.0,203428384.0
img_frame_00010.jpg,-91170616.0,204560512.0
img_frame_00011.jpg,-91054400.0,204798448.0
img_frame_00012.jpg,-90915632.0,205485136.0
img_frame_00013.jpg,-90830664.0,205949712.0
img_frame_00014.jpg,-90776776.0,205955088.0
img_frame_00015.jpg,-90691008.0,205628064.0
img_frame_00016.jpg,-90606736.0,206054080.0
img_frame_00017.jpg,-90541496.0,206122240.0
img_frame_00018.jpg,-90665344.0,205239840.0
img_frame_00019.jpg,-90920856.0,204431888.0
img_frame_00020.jpg,-91056296.0,203402752.0
img_frame_00021.jpg,-91150352.0,203050208.0
img_frame_00022.jpg,-91040080.0,203200288.0
img_frame_00023.jpg,-90724104.0,204658224.0
img_frame_00024.jpg,-90350576.0,206523648.0
img_frame_00025.jpg,-89955728.0,207983328.0
img_frame_00026.jpg,-89790304.0,208703504.0
img_frame_00027.jpg,-89479712.0,209592416.0
img_frame_00028.jpg,-89019688.0,210654704.0
img_frame_00029.jpg,-88541112.0,212606784.0
img_frame_00030.jpg,-88007336.0,214068592.0
img_frame_00031.jpg,-87600184.0,215934976.0
img_frame_00032.jpg,-87167864.0,217001360.0
img_frame_00033.jpg,-87011216.0,217393120.0
img_frame_00034.jpg,-86794416.0,217837936.0
img_frame_00035.jpg,-86101248.0,218837184.0
img_frame_00036.jpg,-85161376.0,220732864.0
img_frame_00037.jpg,-83964008.0,223067312.0
img_frame_00038.jpg,-82750096.0,226281904.0
img_frame_00039.jpg,-81608912.0,228257024.0
img_frame_00040.jpg,-80278496.0,230793088.0
img_frame_00041.jpg,-78846360.0,233531504.0
img_frame_00042.jpg,-77093664.0,236451392.0
img_frame_00043.jpg,-74894440.0,239001504.0
img_frame_00044.jpg,-72674608.0,241935056.0
img_frame_00045.jpg,-70594792.0,245561200.0
img_frame_00046.jpg,-68976576.0,246706240.0
img_frame_00047.jpg,-67365056.0,247934896.0
img_frame_00048.jpg,-66273956.0,250786784.0
img_frame_00049.jpg,-65981748.0,250590048.0
img_frame_00050.jpg,-66460580.0,252319008.0
img_frame_00051.jpg,-65569860.0,256595520.0
img_frame_00052.jpg,-63726804.0,259565984.0
img_frame_00053.jpg,-60896444.0,262585728.0
img_frame_00054.jpg,-58715504.0,256302768.0
img_frame_00055.jpg,-56061144.0,250174560.0
img_frame_00056.jpg,-54354488.0,252781040.0
img_frame_00057.jpg,-53309532.0,243467184.0
img_frame_00058.jpg,-52697264.0,238012672.0
img_frame_00059.jpg,-52368860.0,234137232.0
img_frame_00060.jpg,-51433140.0,230295680.0
img_frame_00061.jpg,-48960044.0,227346960.0
img_frame_00062.jpg,-47183448.0,223698944.0
img_frame_00063.jpg,-44297184.0,220626976.0
img_frame_00064.jpg,-43309352.0,215130448.0
img_frame_00065.jpg,-42481072.0,207455056.0
img_frame_00066.jpg,-41572576.0,196936368.0
img_frame_00067.jpg,-40637496.0,182977792.0
img_frame_00068.jpg,-40493152.0,174203968.0
img_frame_00069.jpg,-40004216.0,167000608.0
img_frame_00070.jpg,-38521984.0,159591472.0
img_frame_00071.jpg,-36977044.0,153204864.0
img_frame_00072.jpg,-36612736.0,148946416.0
img_frame_00073.jpg,-37092068.0,145675552.0
img_frame_00074.jpg,-37774468.0,136477136.0
img_frame_00075.jpg,-35127192.0,130996064.0
img_frame_00076.jpg,-36977120.0,122797376.0
img_frame_00077.jpg,-37896344.0,116375856.0
img_frame_00078.jpg,-37021576.0,111824976.0
img_frame_00079.jpg,-33039350.0,107151664.0
img_frame_00080.jpg,-32511790.0,99718528.0
img_frame_00081.jpg,-32186382.0,89842936.0
img_frame_00082.jpg,-33089288.0,82163448.0
img_frame_00083.jpg,-36566912.0,77968160.0
img_frame_00084.jpg,-33164930.0,75094320.0
img_frame_00085.jpg,-32511948.0,72299576.0
img_frame_00086.jpg,-32257504.0,70807760.0
img_frame_00087.jpg,-30668516.0,68876168.0
img_frame_00088.jpg,-29852998.0,64027240.0
img_frame_00089.jpg,-30318770.0,65368736.0
img_frame_00090.jpg,-33490186.0,65008776.0
img_frame_00091.jpg,-32486222.0,65074420.0
img_frame_00092.jpg,-28602244.0,65734652.0
img_frame_00093.jpg,-27776750.0,65574960.0
img_frame_00094.jpg,-27345614.0,63625412.0
img_frame_00095.jpg,-27092850.0,61908436.0
img_frame_00096.jpg,-28684790.0,61935324.0
img_frame_00097.jpg,-28450582.0,63049992.0
img_frame_00098.jpg,-28327198.0,63399568.0
img_frame_00099.jpg,-28806246.0,67040340.0
img_frame_00100.jpg,-28541286.0,66183616.0
img_frame_00101.jpg,-27228250.0,66307824.0
img_frame_00102.jpg,-27994720.0,66742336.0
img_frame_00103.jpg,-29761252.0,66951960.0
img_frame_00104.jpg,-30515544.0,67387496.0
img_frame_00105.jpg,-30000546.0,67329904.0
img_frame_00106.jpg,-27526986.0,67647992.0
img_frame_00107.jpg,-27245308.0,66583076.0
img_frame_00108.jpg,-27325950.0,64616484.0
img_frame_00109.jpg,-28791738.0,63688932.0
img_frame_00110.jpg,-30677766.0,64577980.0
img_frame_00111.jpg,-30804658.0,65129552.0
img_frame_00112.jpg,-30131566.0,65773952.0
img_frame_00113.jpg,-30835812.0,68395904.0
img_frame_00114.jpg,-30922058.0,67284688.0
img_frame_00115.jpg,-29552738.0,68104880.0
img_frame_00116.jpg,-30034530.0,68088856.0
img_frame_00117.jpg,-31325086.0,68042832.0
img_frame_00118.jpg,-32470578.0,68299944.0
img_frame_00119.jpg,-32697734.0,68622768.0
img_frame_00120.jpg,-32178922.0,68734912.0
img_frame_00121.jpg,-29811682.0,67679800.0
img_frame_00122.jpg,-29870286.0,66082600.0
img_frame_00123.jpg,-29964052.0,64690088.0
img_frame_00124.jpg,-31390224.0,64205428.0
img_frame_00125.jpg,-33232810.0,64771580.0
img_frame_00126.jpg,-33522782.0,64964520.0
img_frame_00127.jpg,-32230264.0,65823248.0
img_frame_00128.jpg,-33407210.0,66679988.0
img_frame_00129.jpg,-33766784.0,65613792.0
img_frame_00130.jpg,-32818578.0,65645872.0
img_frame_00131.jpg,-32224796.0,65461704.0
img_frame_00132.jpg,-32852836.0,65147860.0
img_frame_00133.jpg,-33998848.0,64793628.0
img_frame_00134.jpg,-34677472.0,64852408.0
img_frame_00135.jpg,-34856056.0,64605360.0
img_frame_00136.jpg,-34035860.0,64314944.0
img_frame_00137.jpg,-32042282.0,63489696.0
img_frame_00138.jpg,-32341680.0,62347428.0
img_frame_00139.jpg,-32592344.0,61646044.0
img_frame_00140.jpg,-32662908.0,61485976.0
img_frame_00141.jpg,-33852632.0,61843168.0
img_frame_00142.jpg,-35624028.0,61991688.0
img_frame_00143.jpg,-34945608.0,62214376.0
img_frame_00144.jpg,-33708872.0,63009640.0
img_frame_00145.jpg,-35387176.0,63703880.0
img_frame_00146.jpg,-35459368.0,63066056.0
img_frame_00147.jpg,-34734824.0,63056732.0
img_frame_00148.jpg,-34071404.0,63202632.0
img_frame_00149.jpg,-34007316.0,63194520.0
img_frame_00150.jpg,-34456644.0,62972204.0
img_frame_00151.jpg,-35465152.0,62967324.0
img_frame_00152.jpg,-35781616.0,63056464.0
img_frame_00153.jpg,-35810776.0,63156236.0
img_frame_00154.jpg,-35054096.0,62837168.0
img_frame_00155.jpg,-34436588.0,62353368.0
img_frame_00156.jpg,-33835012.0,61687204.0
img_frame_00157.jpg,-33341240.0,60949248.0
img_frame_00158.jpg,-33436308.0,60582280.0
img_frame_00159.jpg,-34179740.0,60784844.0
img_frame_00160.jpg,-35455604.0,61139908.0
img_frame_00161.jpg,-35656668.0,61619024.0
img_frame_00162.jpg,-35949144.0,61765752.0
img_frame_00163.jpg,-35515392.0,62488244.0
img_frame_00164.jpg,-35701800.0,63340276.0
img_frame_00165.jpg,-36145308.0,63119856.0
img_frame_00166.jpg,-36294072.0,63098508.0
img_frame_00167.jpg,-35926996.0,63200712.0
img_frame_00168.jpg,-35650712.0,63155840.0
img_frame_00169.jpg,-35582980.0,63136804.0
img_frame_00170.jpg,-35872644.0,63260600.0
img_frame_00171.jpg,-36363868.0,63606672.0
img_frame_00172.jpg,-37188488.0,63930248.0
img_frame_00173.jpg,-37471148.0,64012676.0
img_frame_00174.jpg,-37535300.0,63957504.0
img_frame_00175.jpg,-37988368.0,63733448.0
img_frame_00176.jpg,-38573912.0,63209336.0
img_frame_00177.jpg,-38899988.0,62660584.0
img_frame_00178.jpg,-39207928.0,62113792.0
img_frame_00179.jpg,-38770572.0,61909988.0
img_frame_00180.jpg,-39113568.0,62317296.0
img_frame_00181.jpg,-39088428.0,62700876.0
img_frame_00182.jpg,-39438704.0,62905404.0
img_frame_00183.jpg,-39595152.0,62913224.0
img_frame_00184.jpg,-39733584.0,63308948.0
img_frame_00185.jpg,-40302064.0,63844192.0
img_frame_00186.jpg,-41059224.0,64038144.0
img_frame_00187.jpg,-41167736.0,64001436.0
img_frame_00188.jpg,-40592784.0,64186492.0
img_frame_00189.jpg,-41340324.0,64293336.0
img_frame_00190.jpg,-41822756.0,64223172.0
img_frame_00191.jpg,-42101348.0,64043268.0
img_frame_00192.jpg,-42119020.0,63905812.0
img_frame_00193.jpg,-42002872.0,63764400.0
img_frame_00194.jpg,-41938156.0,63930044.0
img_frame_00195.jpg,-42047464.0,64232596.0
img_frame_00196.jpg,-42232028.0,64599320.0
img_frame_00197.jpg,-42548304.0,64813240.0
img_frame_00198.jpg,-43069796.0,64956648.0
img_frame_00199.jpg,-43706284.0,64905640.0
img_frame_00200.jpg,-44131868.0,64755028.0
img_frame_00201.jpg,-44375540.0,64428660.0
img_frame_00202.jpg,-44241028.0,64088688.0
img_frame_00203.jpg,-43755960.0,63775812.0
img_frame_00204.jpg,-43327196.0,63458364.0
img_frame_00205.jpg,-43139976.0,63427448.0
img_frame_00206.jpg,-43041712.0,63657220.0
img_frame_00207.jpg,-43272616.0,63950208.0
img_frame_00208.jpg,-43348660.0,64279576.0
img_frame_00209.jpg,-43410008.0,64319696.0
img_frame_00210.jpg,-43502228.0,64301752.0
img_frame_00211.jpg,-44243828.0,64536768.0
img_frame_00212.jpg,-44856520.0,65009704.0
img_frame_00213.jpg,-45128180.0,65119716.0
img_frame_00214.jpg,-44394236.0,65058488.0
img_frame_00215.jpg,-44425720.0,65299768.0
img_frame_00216.jpg,-44854632.0,65550204.0
img_frame_00217.jpg,-45314392.0,65626524.0
img_frame_00218.jpg,-45767004.0,65649296.0
img_frame_00219.jpg,-45906304.0,65544832.0
img_frame_00220.jpg,-46022364.0,65513560.0
img_frame_00221.jpg,-45830036.0,65430112.0
