Quadro (imagem),min_val,max_val
img_frame_00000.jpg,161865472.0,1105874176.0
img_frame_00001.jpg,160929152.0,1105820672.0
img_frame_00002.jpg,160181632.0,1105815296.0
img_frame_00003.jpg,159113984.0,1105562624.0
img_frame_00004.jpg,159648192.0,1104930304.0
img_frame_00005.jpg,159763456.0,1104411392.0
img_frame_00006.jpg,162203712.0,1104008704.0
img_frame_00007.jpg,162413440.0,1103872512.0
img_frame_00008.jpg,161944256.0,1103311616.0
img_frame_00009.jpg,159951744.0,1103395584.0
img_frame_00010.jpg,158452800.0,1103516672.0
img_frame_00011.jpg,157990464.0,1103540736.0
img_frame_00012.jpg,156721536.0,1103442432.0
img_frame_00013.jpg,156169152.0,1103294976.0
img_frame_00014.jpg,156354816.0,1102588672.0
img_frame_00015.jpg,156960768.0,1101895168.0
img_frame_00016.jpg,157074496.0,1100370176.0
img_frame_00017.jpg,157012096.0,1099937792.0
img_frame_00018.jpg,157612928.0,1098711296.0
img_frame_00019.jpg,158971456.0,1098339584.0
img_frame_00020.jpg,159947328.0,1098764800.0
img_frame_00021.jpg,160297216.0,1099350784.0
img_frame_00022.jpg,160006976.0,1099109632.0
img_frame_00023.jpg,158297152.0,1098629376.0
img_frame_00024.jpg,156304192.0,1098484224.0
img_frame_00025.jpg,154429504.0,1098306560.0
img_frame_00026.jpg,153770048.0,1098167296.0
img_frame_00027.jpg,152809792.0,1097811968.0
img_frame_00028.jpg,151922496.0,1097177856.0
img_frame_00029.jpg,150224512.0,1096301056.0
img_frame_00030.jpg,149623872.0,1095330560.0
img_frame_00031.jpg,145929088.0,1094357504.0
img_frame_00032.jpg,143153856.0,1093755392.0
img_frame_00033.jpg,142262400.0,1093422848.0
img_frame_00034.jpg,141937472.0,1093217536.0
img_frame_00035.jpg,140919744.0,1092003584.0
img_frame_00036.jpg,139132736.0,1091276288.0
img_frame_00037.jpg,135689472.0,1090365184.0
img_frame_00038.jpg,133641920.0,1089541888.0
img_frame_00039.jpg,130734656.0,1087911168.0
img_frame_00040.jpg,127311296.0,1085755392.0
img_frame_00041.jpg,124110080.0,1083899392.0
img_frame_00042.jpg,120646464.0,1081726208.0
img_frame_00043.jpg,117715392.0,1078840576.0
img_frame_00044.jpg,115670464.0,1075005696.0
img_frame_00045.jpg,114616128.0,1071402944.0
img_frame_00046.jpg,116660160.0,1065669696.0
img_frame_00047.jpg,119787904.0,1059050688.0
img_frame_00048.jpg,122137856.0,1051836992.0
img_frame_00049.jpg,136243776.0,1050227136.0
img_frame_00050.jpg,144875712.0,1063217728.0
img_frame_00051.jpg,144595328.0,1065497408.0
img_frame_00052.jpg,140900992.0,1064041024.0
img_frame_00053.jpg,134800704.0,1059061952.0
img_frame_00054.jpg,181283328.0,1054813120.0
img_frame_00055.jpg,204855232.0,1052242112.0
img_frame_00056.jpg,211134784.0,1049226048.0
img_frame_00057.jpg,222302912.0,1052989632.0
img_frame_00058.jpg,229869632.0,1056571840.0
img_frame_00059.jpg,246362048.0,1060625088.0
img_frame_00060.jpg,266442816.0,1058415680.0
img_frame_00061.jpg,285184960.0,1059095360.0
img_frame_00062.jpg,309519552.0,1058872768.0
img_frame_00063.jpg,325445312.0,1058068288.0
img_frame_00064.jpg,344716224.0,1056930368.0
img_frame_00065.jpg,361630016.0,1056793920.0
img_frame_00066.jpg,379013056.0,1053071936.0
img_frame_00067.jpg,405018432.0,1053011008.0
img_frame_00068.jpg,427055936.0,1049991232.0
img_frame_00069.jpg,449453248.0,1048021824.0
img_frame_00070.jpg,466669248.0,1042304192.0
img_frame_00071.jpg,487909440.0,1042934336.0
img_frame_00072.jpg,500701632.0,1044459328.0
img_frame_00073.jpg,509930688.0,1051531712.0
img_frame_00074.jpg,550115648.0,1061989824.0
img_frame_00075.jpg,519797824.0,1042402112.0
img_frame_00076.jpg,535294784.0,1059305152.0
img_frame_00077.jpg,557562432.0,1074953216.0
img_frame_00078.jpg,569651008.0,1076649728.0
img_frame_00079.jpg,575989568.0,1077321472.0
img_frame_00080.jpg,576164800.0,1079451136.0
img_frame_00081.jpg,577305408.0,1086343936.0
img_frame_00082.jpg,577540928.0,1096825344.0
img_frame_00083.jpg,577773504.0,1108143104.0
img_frame_00084.jpg,578178240.0,1105382656.0
img_frame_00085.jpg,578239424.0,1112859648.0
img_frame_00086.jpg,578453440.0,1112846080.0
img_frame_00087.jpg,577658304.0,1111603968.0
img_frame_00088.jpg,575469248.0,1111793152.0
img_frame_00089.jpg,574447296.0,1115587840.0
img_frame_00090.jpg,571951680.0,1124683520.0
img_frame_00091.jpg,571631168.0,1123441920.0
img_frame_00092.jpg,567689408.0,1116253440.0
img_frame_00093.jpg,556971840.0,1108930304.0
img_frame_00094.jpg,550514624.0,1105934080.0
img_frame_00095.jpg,551282240.0,1109772800.0
img_frame_00096.jpg,551378880.0,1109586176.0
img_frame_00097.jpg,548460096.0,1107474688.0
img_frame_00098.jpg,547768256.0,1106759936.0
img_frame_00099.jpg,539666496.0,1105387264.0
img_frame_00100.jpg,536660288.0,1101194752.0
